ID,Scenario,Kind,Outcome,Places,Transitions,Arcs,Descriptors,Descriptor kinds,Duration ms
CS01,no-object sequence,construct,holds,11,5,11,17,atomicTaskTransition=2; controlFlowPlace=3; endEventTransition=1; existenceAwarenessPlace=2; localTransition=1; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=4,60.3
CS02,single-object creation with multiple initial states and common identifier,construct,holds,17,11,34,30,atomicTaskTransition=1; controlFlowPlace=5; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=2; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=6; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,48.7
CS03,two-object one-to-one creation,construct,holds,19,7,28,26,controlFlowPlace=3; endEventTransition=1; existenceAwarenessPlace=4; oneToOneObjectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,22.5
CS04,two-object one-to-many creation,construct,holds,19,8,30,29,controlFlowPlace=3; endEventTransition=1; existenceAwarenessPlace=4; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,25.0
CS05,two-object many-to-many creation,construct,holds,19,8,28,29,controlFlowPlace=3; endEventTransition=1; existenceAwarenessPlace=4; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,29.6
CS06,two-object creation without association,construct,holds,19,8,28,29,controlFlowPlace=3; endEventTransition=1; existenceAwarenessPlace=4; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,29.6
CS07,three-object mixed dependencies,construct,holds,27,10,42,38,controlFlowPlace=4; endEventTransition=1; existenceAwarenessPlace=6; localTransition=1; objectCreationTransition=1; oneToOneObjectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=12; taskReceiveTransition=3; taskSendTransition=3; transmissionPlace=3,21.0
CS08,communication with different-role local transitions and forwarding,construct,holds,21,11,39,33,controlFlowPlace=4; endEventTransition=1; existenceAwarenessPlace=3; localTransition=2; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=9; taskReceiveTransition=4; taskSendTransition=3; transmissionPlace=3,19.5
CS09,multiple compatible receiver states,construct,holds,21,16,50,39,atomicTaskTransition=1; controlFlowPlace=6; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=2; localTransition=4; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=4; taskSendTransition=3; transmissionPlace=3,28.4
CS10,multi-class synchronization followed by forwarding,construct,holds,37,16,66,55,controlFlowPlace=6; endEventTransition=1; existenceAwarenessPlace=6; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=18; taskReceiveTransition=7; taskSendTransition=5; transmissionPlace=5,39.2
CS11,synchronization with multiple source states,construct,holds,21,15,50,38,atomicTaskTransition=1; controlFlowPlace=6; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=2; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=4; taskSendTransition=4; transmissionPlace=3,25.3
CS12,state reachable by synchronization or local transition,construct,holds,23,15,50,39,atomicTaskTransition=1; controlFlowPlace=6; endEventTransition=1; existenceAwarenessPlace=3; gatewayBranchTransition=2; localTransition=2; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=9; taskReceiveTransition=5; taskSendTransition=3; transmissionPlace=3,16.4
CS13,combined task on same class,construct,holds,13,6,20,20,controlFlowPlace=2; endEventTransition=1; existenceAwarenessPlace=2; localTransition=1; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=6; taskReceiveTransition=2; taskSendTransition=1; transmissionPlace=1,13.9
CS14,combined task across classes,construct,holds,21,8,32,31,controlFlowPlace=3; endEventTransition=1; existenceAwarenessPlace=4; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=10; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,17.5
CS15,event-based gateway with local non-creational decision,construct,holds,20,13,40,34,controlFlowPlace=5; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=2; localTransition=3; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=3; taskSendTransition=3; transmissionPlace=3,41.6
CS16,guarded exclusive gateway,construct,holds,22,17,50,41,atomicTaskTransition=3; controlFlowPlace=10; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=6; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=6; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,27.8
CS17,exclusive gateway with affected role identification,construct,holds,45,24,68,71,atomicTaskTransition=10; controlFlowPlace=17; endEventTransition=1; existenceAwarenessPlace=6; gatewayBranchTransition=6; localTransition=2; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=18; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,79.0
CS18,parallel independent object branches,construct,holds,31,14,48,48,atomicTaskTransition=1; controlFlowPlace=8; endEventTransition=1; existenceAwarenessPlace=6; localTransition=3; objectCreationTransition=3; parallelGatewayTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=12; taskReceiveTransition=3; taskSendTransition=3; transmissionPlace=3,13.3
CS19,event-based gateway loop,construct,holds,14,9,19,24,atomicTaskTransition=4; controlFlowPlace=6; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=2; localTransition=1; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=4,11.0
CS20,exclusive gateway loop,construct,holds,26,29,94,57,atomicTaskTransition=3; controlFlowPlace=11; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=6; localTransition=4; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=10; taskSendTransition=4; transmissionPlace=3,26.2
IS01,order fulfillment,integrated,holds,78,35,129,118,atomicTaskTransition=3; controlFlowPlace=15; endEventTransition=2; existenceAwarenessPlace=12; gatewayBranchTransition=6; localTransition=7; objectCreationTransition=5; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=42; taskReceiveTransition=9; taskSendTransition=7; transmissionPlace=7,38.3
IS02,item purchase plain,integrated,holds,23,16,53,40,atomicTaskTransition=2; controlFlowPlace=6; endEventTransition=2; existenceAwarenessPlace=2; localTransition=2; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=10; taskReceiveTransition=6; taskSendTransition=3; transmissionPlace=3,40.2
IS03,item purchase optimistic,integrated,holds,38,24,85,64,atomicTaskTransition=3; controlFlowPlace=9; endEventTransition=4; existenceAwarenessPlace=4; localTransition=3; objectCreationTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=18; taskReceiveTransition=8; taskSendTransition=5; transmissionPlace=5,33.6
IS04,item purchase pessimistic,integrated,holds,37,23,87,60,atomicTaskTransition=2; controlFlowPlace=8; endEventTransition=3; existenceAwarenessPlace=4; localTransition=1; oneToOneObjectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=18; taskReceiveTransition=10; taskSendTransition=5; transmissionPlace=5,20.1
WS01,sender-side blocking,witness,holds,21,11,34,33,atomicTaskTransition=1; controlFlowPlace=7; endEventTransition=1; existenceAwarenessPlace=2; localTransition=2; objectCreationTransition=1; parallelGatewayTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=2; taskSendTransition=2; transmissionPlace=2,14.6
WS02,receiver-side blocking,witness,holds,29,15,53,45,controlFlowPlace=8; endEventTransition=1; existenceAwarenessPlace=3; localTransition=2; objectCreationTransition=1; parallelGatewayTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=12; taskReceiveTransition=5; taskSendTransition=4; transmissionPlace=4,12.8
WS03,unreachable behavior,witness,holds,24,17,58,42,controlFlowPlace=8; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=4; localTransition=2; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=5; taskSendTransition=4; transmissionPlace=4,17.1
WS04,decision misalignment,witness,holds,26,17,58,44,atomicTaskTransition=1; controlFlowPlace=11; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=4; localTransition=2; objectCreationTransition=1; parallelGatewayTransition=2; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=3; taskSendTransition=3; transmissionPlace=3,11.8
WS05,completion loss,witness,holds,26,19,56,46,atomicTaskTransition=3; controlFlowPlace=11; endEventTransition=1; existenceAwarenessPlace=2; gatewayBranchTransition=6; localTransition=2; objectCreationTransition=1; sinkPlace=1; sourcePlace=1; startEventTransition=1; stateAwarenessPlace=8; taskReceiveTransition=3; taskSendTransition=3; transmissionPlace=3,12.3
